key,zh,en,th
用户名,用户名,,ชื่อผู้ใช้
密码,密码,,รหัสผ่าน
登录,登录,log on,เข้าสู่ระบบ
登录成功,登录成功,,เข้าสู่ระบบเรียบร้อย
退出登录,退出登录,Log out,ออกจากระบบ
选择图片,选择图片,,เลือกรูปภาพ
当前路径,当前路径,,พาธปัจจุบัน
已存在文件,已存在文件,,มีไฟล์อยู่แล้ว
请输入,请输入,Enter,กรุณากรอก
请选择,请选择,Please select,กรุณาเลือก
修改密码,修改密码,Change Password,แก้ไขรหัสผ่าน
取消,取消,,ยกเลิก
确定,确定,,ยืนยัน
旧密码,旧密码,Old password,รหัสผ่านเก่า
新密码,新密码,Password,รหัสผ่านใหม่
确认密码,确认密码,Confirm Password,ยืนยันรหัสผ่าน
保存,保存,save,บันทึก
请填写旧密码,请填写旧密码,Please fill in the old password,กรุณากรอกรหัสผ่านเก่า
请填写新密码,请填写新密码,Please fill in the new password,กรุณากรอกรหัสผ่านใหม่
请再次确认密码,请再次确认密码,Please confirm the password again,กรุณายืนยันรหัสผ่านอีกครั้ง
修改成功,修改成功,,แก้ไขสำเร็จ
搜索,搜索,search for,ค้นหา
导出,导出,,นำออก
手机号,手机号,,เบอร์โทร
银行卡号,银行卡号,,เลขที่บัญชี
真实姓名,真实姓名,,ชื่อ-สกุล
trueMoney姓名,trueMoney姓名,,ชื่อ-สกุลTrueMoney
状态,状态,,สถานะ
全部,全部,,ทั้งหมด
正常,正常,,ปกติ
封禁,封禁,,แบน
注册日期,注册日期,,วันที่ลงทะเบียน
登录日期,登录日期,,วันที่เข้าสู่ระบบ
至,至,,ถึง
结束日期,结束日期,,วันที่สิ้นสุด
开始日期,开始日期,,วันที่เริ่มต้น
详情,详情,,รายละเอียด
用户名,用户名,,ชื่อผู้ใช้
携带金币,携带金币,,เหรียญที่พกพา
银行金币,银行金币,,เหรียญในธนาคาร
充值金币总和,充值金币总和,,ยอดเติมทั้งหมด
提现金币总和,提现金币总和,,ยอดถอนทั้งหมด
